Measured:	Estimated:			Updated:
[147  42]	[  50.06  100.1 ]	[ 151.08664485   28.60345155]
[147  42]	[ 151.52380108   27.39198057]	[ 148.23583124   35.92099052]
[147  42]	[ 148.68704928   34.83631542]	[ 147.53991128   38.32435366]
[147  42]	[ 148.00943697   37.27931657]	[ 147.24928564   39.52218423]
[147  40]	[ 147.73743864   38.49567146]	[ 147.10077937   39.8312252 ]
[147  40]	[ 147.59750964   38.80878272]	[ 147.01004791   40.03523064]
[147  40]	[ 147.51550184   39.01503289]	[ 146.95281734   40.17928759]
[147  40]	[ 147.46716815   39.16027619]	[ 146.91761637   40.28569284]
[147  42]	[ 147.44111795   39.26717076]	[ 146.96857857   40.59650857]
[147  42]	[ 147.52213756   39.57991601]	[ 147.03857792   40.83969693]
[147  42]	[ 147.62365322   39.82348013]	[ 147.13043711   41.03142502]
[147  42]	[ 147.74926995   40.01413918]	[ 147.25019222   41.18134619]
[147  40]	[ 147.90616364   40.16147465]	[ 147.20605459   41.15167188]
[147  40]	[ 147.86771216   40.12925025]	[ 147.18264755   41.12199873]
[147  40]	[ 147.85165338   40.09676011]	[ 147.18531149   41.08989195]
[147  40]	[ 147.86430947   40.06133224]	[ 147.22825239   41.05084579]
[147  42]	[ 147.92193139   40.01798134]	[ 148.02986259   40.99220653]
[147  42]	[ 148.83877427   39.93869096]	[ 149.77010493   40.6713012 ]
[147  42]	[ 150.81225947   39.56947787]	[ 157.4521554   38.789459 ]
[148  41]	[ 159.43353558   37.47648863]	[ 129.78275498   45.98182774]
[148  41]	[ 128.72312202   45.37028147]	[ 143.62244185   42.49693893]
[148  41]	[ 143.93119834   41.57256813]	[ 145.3454766    42.10056404]
[148  41]	[ 145.80825487   41.14232446]	[ 146.00892069   41.96893797]
[148  41]	[ 146.5256052    40.99967437]	[ 146.35973592   41.91266754]
[147  42]	[ 146.9024872    40.93863379]	[ 146.17919392   42.04711185]
[147  42]	[ 146.70535761   41.08037336]	[ 146.08808102   42.15104015]
[147  42]	[ 146.60524399   41.18951505]	[ 146.04513611   42.23558479]
[147  42]	[ 146.55729793   41.2780443 ]	[ 146.02971746   42.30660458]
[148  40]	[ 146.53913748   41.35224724]	[ 146.39253301   42.13929365]
[148  40]	[ 146.925332    41.1766094]	[ 146.65632464   42.00314169]
[148  40]	[ 147.20561903   41.03399789]	[ 146.85129845   41.89009481]
[148  40]	[ 147.41246188   40.91581563]	[ 146.99723848   41.79473428]
[147  41]	[ 147.56707636   40.81629144]	[ 146.91431313   41.81800839]
[147  41]	[ 147.47993363   40.84064992]	[ 146.84712562   41.83723985]
[147  41]	[ 147.40944782   40.86074578]	[ 146.79209899   41.85331163]
[147  41]	[ 147.35180985   40.87751562]	[ 146.74660285   41.86687547]
[148  41]	[ 147.30422379   40.89164965]	[ 146.81590964   41.87121978]
[148  41]	[ 147.37632911   40.89605438]	[ 146.8760602    41.87590452]
[148  41]	[ 147.43883488   40.90082824]	[ 146.92857322   41.88074152]
[148  41]	[ 147.4933446    40.90577159]	[ 146.97465939   41.88559949]
[147  41]	[ 147.54113463   40.91074516]	[ 146.91973931   41.89554144]
[147  41]	[ 147.48410321   40.92107349]	[ 146.87202387   41.90406419]
[147  41]	[ 147.43460231   40.929919  ]	[ 146.83037362   41.91140824]
[147  41]	[ 147.39143384   40.93753423]	[ 146.79386031   41.91776711]
[148  41]	[ 147.35362296   40.94412222]	[ 146.84830985   41.91949306]
[148  41]	[ 147.40989201   40.94586165]	[ 146.89688203   41.92139343]
[148  41]	[ 147.46004984   40.94778659]	[ 146.94034438   41.92339871]
[148  41]	[ 147.50489922   40.94982403]	[ 146.97934576   41.9254565 ]
[148  41]	[ 147.54511813   40.95191894]	[ 147.01443765   41.92752755]
[147  41]	[ 147.58128225   40.95403009]	[ 146.96832754   41.9322761 ]
[147  41]	[ 147.53375802   40.95893681]	[ 146.92687482   41.93642359]
[147  41]	[ 147.49106044   40.96321969]	[ 146.88951635   41.94005725]
[147  41]	[ 147.45260284   40.96696968]	[ 146.85576846   41.94325017]
[147  42]	[ 147.41788175   40.97026286]	[ 146.80961583   42.01131669]
